program_id,source,source_service,title,category,district,venue,address,lat,lng,age_min,age_max,age_label,target_text,date_start,date_end,time_text,fee,fee_type,indoor_outdoor,reservation_status_raw,reservation_status_norm,availability_group,available_now,is_full_or_closed,date_match_level,source_url,detail_url,rule_summary,cancel_rule,no_show_rule,family_fit,preparation_note,data_confidence,availability_confidence,recommendation_reason,caution_note,last_api_update,id,week,status,status_label,reservation_required
SAMPLE-0001,공공서비스예약,sample_fallback,어린이 과학 실험실,과학,마포구,마포구 공공서비스센터,서울특별시 마포구 샘플로 100,37.56812830247853,126.89566009536256,6,9,6-9세,6-9세 어린이 및 보호자,2026-05-02,2026-05-02,10:00-11:30,0,무료,실내,접수중,available,지금 신청 가능,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0001,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0001,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0001,18,지금 신청 가능,지금 신청 가능,True
SAMPLE-0002,구립도서관,sample_fallback,어린이 그림책 미술관,미술,서대문구,서대문구 어린이도서관,서울특별시 서대문구 샘플로 101,37.58360270717483,126.94244338829836,7,9,7-9세,7-9세 어린이 및 보호자,2026-05-03,2026-05-03,10:00-12:00,3000,저비용,실외,예약가능,available,지금 신청 가능,True,False,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0002,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0002,18,지금 신청 가능,지금 신청 가능,False
SAMPLE-0003,서울형 키즈카페,sample_fallback,어린이 작가와의 만남,독서,용산구,용산구 아이맘센터,서울특별시 용산구 샘플로 102,37.52089378886808,126.98268692295882,5,8,5-8세,5-8세 어린이 및 보호자,2026-05-01,2026-05-01,13:00-15:00,0,무료,혼합,상시이용,always_available,상시/현장 가능,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0003,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0003,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0003,18,상시/현장 가능,상시/현장 가능,True
SAMPLE-0004,공공서비스예약,sample_fallback,움직임 놀이교실,놀이,영등포구,영등포구 공공서비스센터,서울특별시 영등포구 샘플로 103,37.52716704241901,126.89430254444594,6,9,6-9세,6-9세 어린이 및 보호자,2026-05-05,2026-05-05,14:00-16:00,0,무료,실내,마감임박,closing_soon,마감 임박,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0004,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0004,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0004,19,마감 임박,마감 임박,True
SAMPLE-0005,구립도서관,sample_fallback,가족 공연 체험,공연,은평구,은평구 어린이도서관,서울특별시 은평구 샘플로 104,37.60259919305497,126.92398173643457,7,9,7-9세,7-9세 어린이 및 보호자,2026-05-08,2026-05-08,오전,3000,저비용,실외,접수마감,full,예약 마감,False,True,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0005,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0005,19,예약 마감,예약 마감,False
SAMPLE-0006,서울형 키즈카페,sample_fallback,어린이 생태 관찰 교실,자연,강서구,강서구 아이맘센터,서울특별시 강서구 샘플로 105,37.55617638784918,126.85416675161258,5,8,5-8세,5-8세 어린이 및 보호자,2026-05-09,2026-05-09,오후,0,무료,혼합,확인 필요,unknown,확인 필요,False,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0006,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0006,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0006,19,확인 필요,확인 필요,True
SAMPLE-0007,공공서비스예약,sample_fallback,로봇과 코딩 체험,과학,마포구,마포구 공공서비스센터,서울특별시 마포구 샘플로 106,37.56669618418537,126.9086634472418,6,9,6-9세,6-9세 어린이 및 보호자,2026-05-02,2026-05-02,상시,0,무료,실내,접수중,available,지금 신청 가능,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0007,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0007,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0007,18,지금 신청 가능,지금 신청 가능,True
SAMPLE-0008,구립도서관,sample_fallback,우리동네 색채 아틀리에,미술,서대문구,서대문구 어린이도서관,서울특별시 서대문구 샘플로 107,37.58190505605351,126.9316442452227,7,9,7-9세,7-9세 어린이 및 보호자,2026-05-03,2026-05-03,10:00-11:30,3000,저비용,실외,예약가능,available,지금 신청 가능,True,False,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0008,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0008,18,지금 신청 가능,지금 신청 가능,False
SAMPLE-0009,서울형 키즈카페,sample_fallback,도서관 창의 독서교실,독서,용산구,용산구 아이맘센터,서울특별시 용산구 샘플로 108,37.5348125047045,126.98474670439502,5,8,5-8세,5-8세 어린이 및 보호자,2026-05-01,2026-05-01,10:00-12:00,0,무료,혼합,상시이용,always_available,상시/현장 가능,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0009,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0009,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0009,18,상시/현장 가능,상시/현장 가능,True
SAMPLE-0010,공공서비스예약,sample_fallback,창의 놀이랩,놀이,영등포구,영등포구 공공서비스센터,서울특별시 영등포구 샘플로 109,37.53167070180785,126.89590044453408,6,9,6-9세,6-9세 어린이 및 보호자,2026-05-05,2026-05-05,13:00-15:00,0,무료,실내,마감임박,closing_soon,마감 임박,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0010,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0010,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0010,19,마감 임박,마감 임박,True
